program_name,street_address,city,state,latitude,longitude,phone,web_address,hours_of_operation,description,comments,served_population,location_notes,days_of_the_week,service_code
Salvation Army,5335 N. Williams Ave.,portland,oregon,,,(971) 340 4019,,"Monday, Wednesday, and Friday from 10am - 12pm and 1pm - 4pm",food boxes,"once every 30 days, must have proof of address unless house-less",call for served zip codes,entrance on Moore,"Monday, Wednesday, Friday",food
Portland Tabernacle Family Services,1712 NE Sandy Blvd.,portland,oregon,,,(503) 239 1264,,"Monday, Wednesday, Friday from 9am - 11:30am and 1pm - 4pm",food boxes,"must bring own bag, once every 30 days, must have proof of address unless house-less",call for served zip codes,Salvation Army,"Monday, Wednesday, Friday",food
SnowCap Community Charities,17805 SE Stark St.,portland,oregon,,,(503) 674 8785,www.snocap.org,"Monday and Friday from 10am - 2pm, Wednesday from 6pm - 8pm",food boxes ,limit once per month with proof of address,east of 82nd ave,behind Rockwood United Methodist Church,"Monday, Wednesday, Friday",food
St. Andrew Emergency Services,4940 NE 8th Ave.,portland,oregon,,,(971) 244 0339,www.standrewchurch.com,Wednesday through Friday from 9am - 1pm,food boxes,limit once per month,anyone in need,St. Vincent Depaul,"Wednesday, Thursday, Friday",food
St. Mark’s Lutheran Church,5415 SE Powell Blvd.,portland,oregon,,,(503) 777 1443,www.smpdx.org,4th Saturday of the month from 9am - 10:30pm,food basket,limit once per month,anyone in need,enter through parking lot behind building,Saturday,food
St. Mark’s Lutheran Church,5415 SE Powell Blvd.,portland,oregon,,,(503) 777 1444,www.smpdx.org,Friday from 3pm - 5:30pm,food pantry,"limit once per month, bring proof of zip",97206 zipcode,enter from 54th st.,Friday,food
St.Stephen’s Episcopal Church,1432 Sw 13th Ave.,portland,oregon,,,(503) 223 6424,,4th Thursday of the month from 1pm - 5:30pm,food pantry,"lottery style, doors @ 1pm",,,Thursday,food
St. Vincent de Paul,8101 SE Cornwell,portland,oregon,,,(503) 235 8431,,Monday through Friday from 9am -12pm and 1pm - 2pm,food boxes,,anyone in need,,"Monday, Tuesday, Wednesday, Thursday, Friday",food
SE Community Food Pantry and Clothes Closet,5535 SE Rhone St.,portland,oregon,,,(503) 895 6102,www.southeastcommunity.org,Monday and Thursday from 10am - 2pm an Wednesday from 2pm - 6pm,food pantry,limit once per month,anyone in need,,"Monday, Wednesday, Thursday",food
Trinity Episcopal Cathedral,147 NW 19th Ave.,portland,oregon,,,(503) 222 9811,www.trinity-episcopal.org,Monday through Friday from 11am - 1pm and Saturday from 10am - 12pm,"bags of groceries, grab and go food",,anyone in need,@ Everett St.,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",food
Union Gospel Mission,3 NW Third Ave/,portland,oregon,,,(503) 274 4483,www.ugmportland.org,Friday @ 11:30am,food boxes,"limit once per month, numbers passed out at 11:30am , boxes served in numerical order at 12pm",anyone in need,,Friday,food
William Temple House,2023 NW Hoyt St.,portland,oregon,,,(503) 226 3021,www.williamtemple.org,Tuesday and Wednesday from 10am - 2:30pm and Thursday from 11am - 3pm,food boxes ,limit once per month,anyone in need,,"Tuesday, Wednesday, Thursday",food
Zarephath Pantry,59 NW Ava Ave.,portland,oregon,,,(503) 667 7932,www.zmgresham.org,"Monday, Wednesday, Thursday, Friday from 10am - 2pm",emergency food boxes,"ID for proof of residency, closed holidays",east multonomah county residents,enter through parking lot door,"Monday, Wednesday, Thursday, Friday",food
